A1_abscissa,A1_cdf,tau1_abscissa,tau1_cdf,I0_abscissa,I0_cdf,split
0.219291,0.782197,5.78056,0.782197,0.499701,0.782197,All
0.219584,0.784091,5.79448,0.784091,0.500234,0.784091,All
0.219733,0.785985,5.7955,0.785985,0.500787,0.785985,All
0.220325,0.787879,5.80028,0.787879,0.500831,0.787879,All
0.220571,0.789773,5.80687,0.789773,0.500902,0.789773,All
0.221147,0.791667,5.81251,0.791667,0.500965,0.791667,All
0.221446,0.793561,5.84203,0.793561,0.501034,0.793561,All
0.221458,0.795455,5.84288,0.795455,0.501528,0.795455,All
0.221871,0.797348,5.85913,0.797348,0.501651,0.797348,All
0.221934,0.799242,5.86105,0.799242,0.502483,0.799242,All
0.222233,0.801136,5.87872,0.801136,0.503121,0.801136,All
0.222263,0.80303,5.88137,0.80303,0.503396,0.80303,All
0.222793,0.804924,5.88209,0.804924,0.503593,0.804924,All
