ID,time,prediction_pwRes,pwRes,pwRes_simBlq,prediction_iwRes_mean,iwRes_mean,iwRes_mean_simBlq,prediction_iwRes_mode,iwRes_mode,iwRes_mode_simBlq,prediction_npde,npde,npde_simBlq,censored,split,color,filter
200,24.7727,0.654631,0.806471,0.806471,0.735381,-0.0428411,-0.0428411,0.73984,-0.109879,-0.109879,0.654631,0.823068,0.823068,0,All,#4682B4,0
200,25.1265,0.654631,-0.0742754,-0.0742754,0.735381,-1.24287,-1.24287,0.73984,-1.30991,-1.30991,0.654631,-0.0579029,-0.0579029,0,All,#4682B4,0
200,25.4804,0.654631,0.0938794,0.0938794,0.735381,-1.04459,-1.04459,0.73984,-1.11163,-1.11163,0.654631,0.0973317,0.0973317,0,All,#4682B4,0
200,25.8343,0.654631,-1.0026,-1.0026,0.735381,-2.5436,-2.5436,0.73984,-2.61064,-2.61064,0.654631,-1.01857,-1.01857,0,All,#4682B4,0
200,26.1882,0.654631,0.428589,0.428589,0.735381,-0.509971,-0.509971,0.73984,-0.577009,-0.577009,0.654631,0.383026,0.383026,0,All,#4682B4,0
200,26.5421,0.654631,-0.111229,-0.111229,0.735381,-1.28712,-1.28712,0.73984,-1.35415,-1.35415,0.654631,-0.115398,-0.115398,0,All,#4682B4,0
200,26.896,0.654631,-0.318353,-0.318353,0.735381,-1.50831,-1.50831,0.73984,-1.57535,-1.57535,0.654631,-0.317124,-0.317124,0,All,#4682B4,0
200,27.2499,0.654631,0.162017,0.162017,0.735381,-0.913264,-0.913264,0.73984,-0.980302,-0.980302,0.654631,0.184568,0.184568,0,All,#4682B4,0
200,27.6038,0.654631,-0.627801,-0.627801,0.735381,-1.92618,-1.92618,0.73984,-1.99322,-1.99322,0.654631,-0.624157,-0.624157,0,All,#4682B4,0
200,27.9577,0.654631,-0.902455,-0.902455,0.735381,-2.49723,-2.49723,0.73984,-2.56427,-2.56427,0.654631,-0.900784,-0.900784,0,All,#4682B4,0
