A1_abscissa,A1_pdf,A1_cdf,tau1_abscissa,tau1_pdf,tau1_cdf,A2_abscissa,A2_pdf,A2_cdf,tau2_abscissa,tau2_pdf,tau2_cdf,I0_abscissa,I0_pdf,I0_cdf,split
0.0643889,20.3545,0.707337,1.22707e+07,1.3565e-09,0.978376,0.117359,13.5784,0.675897,1.63046e+07,7.41714e-10,0.985713,0.482514,7.46682,0.450613,All
0.0657203,19.0528,0.733572,1.26425e+07,1.29122e-09,0.978869,0.119651,12.7606,0.706082,1.67987e+07,7.04366e-10,0.98607,0.489395,7.41866,0.501899,All
0.0670518,17.7529,0.758074,1.30144e+07,1.23074e-09,0.979337,0.121942,11.9207,0.734364,1.72928e+07,6.69837e-10,0.986409,0.496276,7.25258,0.552442,All
0.0683832,16.4709,0.780854,1.33862e+07,1.17457e-09,0.979784,0.124234,11.0739,0.760711,1.77869e+07,6.37847e-10,0.986732,0.503158,6.98114,0.601471,All
0.0697147,15.2202,0.801948,1.3758e+07,1.12232e-09,0.980211,0.126525,10.233,0.785122,1.82809e+07,6.08148e-10,0.98704,0.510039,6.62068,0.648316,All
0.0710461,14.0118,0.821403,1.41299e+07,1.07361e-09,0.980619,0.128817,9.40913,0.807624,1.8775e+07,5.80524e-10,0.987334,0.51692,6.18989,0.692427,All
0.0723776,12.8539,0.839282,1.45017e+07,1.02813e-09,0.98101,0.131109,8.61115,0.828266,1.92691e+07,5.54782e-10,0.987614,0.523802,5.70844,0.733388,All
0.0737091,11.7529,0.855657,1.48735e+07,9.85593e-10,0.981384,0.1334,7.84612,0.847116,1.97632e+07,5.30752e-10,0.987882,0.530683,5.19568,0.770918,All
0.0750405,10.7129,0.870606,1.52454e+07,9.45739e-10,0.981743,0.135692,7.11934,0.864256,2.02572e+07,5.08284e-10,0.988139,0.537564,4.66966,0.804864,All
0.076372,9.73665,0.884213,1.56172e+07,9.08344e-10,0.982088,0.137983,6.43455,0.879777,2.07513e+07,4.87243e-10,0.988385,0.544445,4.1463,0.835191,All
0.0777034,8.82523,0.896563,1.59891e+07,8.73205e-10,0.982419,0.140275,5.7941,0.89378,2.12454e+07,4.67508e-10,0.98862,0.551327,3.63893,0.861964,All
0.0790349,7.97865,0.907742,1.63609e+07,8.40141e-10,0.982738,0.142567,5.19915,0.906367,2.17395e+07,4.48973e-10,0.988847,0.558208,3.15806,0.885333,All
0.0803663,7.19594,0.917838,1.67327e+07,8.08988e-10,0.983044,0.144858,4.64987,0.917644,2.22336e+07,4.31541e-10,0.989064,0.565089,2.71137,0.905506,All
0.0816978,6.47536,0.926932,1.71046e+07,7.79598e-10,0.98334,0.14715,4.14565,0.927713,2.27276e+07,4.15124e-10,0.989273,0.571971,2.30386,0.922738,All
0.0830292,5.81458,0.935107,1.74764e+07,7.51837e-10,0.983624,0.149441,3.6852,0.936678,2.32217e+07,3.99644e-10,0.989475,0.578852,1.93818,0.937309,All
0.0843607,5.21082,0.942441,1.78483e+07,7.25585e-10,0.983899,0.151733,3.26675,0.944635,2.37158e+07,3.85031e-10,0.989668,0.585733,1.61497,0.94951,All
