A1_vs_I0_abscissa,A1_vs_I0_spline,A1_vs_I0_regression,A1_vs_tau1_abscissa,A1_vs_tau1_spline,A1_vs_tau1_regression,I0_vs_A1_abscissa,I0_vs_A1_spline,I0_vs_A1_regression,I0_vs_tau1_abscissa,I0_vs_tau1_spline,I0_vs_tau1_regression,tau1_vs_A1_abscissa,tau1_vs_A1_spline,tau1_vs_A1_regression,tau1_vs_I0_abscissa,tau1_vs_I0_spline,tau1_vs_I0_regression
-0.278401,-0.23666,-0.062939,-0.612122,0.611964,0.616428,-0.473046,-0.0196387,-0.0147861,-0.612122,0.0220271,0.0282712,-0.473046,0.466479,0.468457,-0.278401,0.2435,0.0646912
-0.272607,-0.224912,-0.0618009,-0.598283,0.598247,0.602501,-0.459252,-0.0144294,-0.0142519,-0.598283,0.0210502,0.0277126,-0.459252,0.452964,0.454811,-0.272607,0.231737,0.0635251
-0.266813,-0.213164,-0.0606628,-0.584444,0.584531,0.588575,-0.445458,-0.0112123,-0.0137176,-0.584444,0.0200733,0.027154,-0.445458,0.439534,0.441165,-0.266813,0.219974,0.0623591
-0.261019,-0.200789,-0.0595247,-0.570605,0.570814,0.574649,-0.431665,-0.0106566,-0.0131834,-0.570605,0.0190963,0.0265954,-0.431665,0.426179,0.427519,-0.261019,0.207435,0.061193
-0.255226,-0.18712,-0.0583866,-0.556766,0.557098,0.560723,-0.417871,-0.0138758,-0.0126492,-0.556766,0.0181194,0.0260368,-0.417871,0.412904,0.413873,-0.255226,0.193298,0.0600269
-0.249432,-0.173452,-0.0572485,-0.542927,0.543382,0.546796,-0.404077,-0.0203236,-0.012115,-0.542927,0.0171425,0.0254782,-0.404077,0.399683,0.400227,-0.249432,0.17916,0.0588608
-0.243638,-0.159784,-0.0561104,-0.529088,0.529665,0.53287,-0.390284,-0.0304161,-0.0115807,-0.529088,0.0161656,0.0249196,-0.390284,0.386495,0.386581,-0.243638,0.165023,0.0576947
-0.237845,-0.146116,-0.0549723,-0.51525,0.515949,0.518944,-0.37649,-0.0414267,-0.0110465,-0.51525,0.0151886,0.024361,-0.37649,0.373268,0.372935,-0.237845,0.150885,0.0565287
-0.232051,-0.132448,-0.0538342,-0.501411,0.502379,0.505018,-0.362696,-0.0513883,-0.0105123,-0.501411,0.0138074,0.0238024,-0.362696,0.359928,0.359289,-0.232051,0.136748,0.0553626
-0.226257,-0.11878,-0.0526961,-0.487572,0.488843,0.491092,-0.348903,-0.0576067,-0.00997804,-0.487572,0.0123344,0.0232438,-0.348903,0.346384,0.345643,-0.226257,0.12261,0.0541965
