rep,ID,eta_A1_simulated,eta_tau1_simulated,eta_I0_simulated,split,color,filter
1,204,0.0307921,-0.0462436,0.0858464,All,#4682B4,0
2,204,0.078837,-0.0923822,0.0693851,All,#4682B4,0
3,204,0.0846831,-0.108119,0.0342804,All,#4682B4,0
4,204,0.108206,-0.0980726,0.0698688,All,#4682B4,0
5,204,0.2583,-0.243366,0.00183404,All,#4682B4,0
6,204,0.233022,-0.254048,0.0152843,All,#4682B4,0
7,204,0.0171069,-0.0074086,0.0731637,All,#4682B4,0
8,204,-0.0252072,0.00951443,0.0981214,All,#4682B4,0
1,205,0.248386,-0.251005,-0.186323,All,#4682B4,0
2,205,-0.307766,0.288069,0.0538582,All,#4682B4,0
3,205,-0.360434,0.3403,0.0556325,All,#4682B4,0
4,205,-0.100973,0.0967587,-0.0340442,All,#4682B4,0
5,205,-0.0449442,0.0420654,-0.0498397,All,#4682B4,0
6,205,-0.170334,0.166978,0.0059853,All,#4682B4,0
7,205,-0.168047,0.152095,-0.000291791,All,#4682B4,0
8,205,-0.024137,0.0370913,-0.0546057,All,#4682B4,0
1,206,0.354698,-0.350915,0.115052,All,#4682B4,0
2,206,0.385213,-0.37409,0.10528,All,#4682B4,0
3,206,0.319616,-0.328399,0.140906,All,#4682B4,0
4,206,0.345383,-0.342188,0.12132,All,#4682B4,0
5,206,0.416654,-0.406845,0.0730705,All,#4682B4,0
6,206,0.435553,-0.438462,0.0865986,All,#4682B4,0
7,206,0.075288,-0.0626558,0.237021,All,#4682B4,0
8,206,0.211907,-0.217775,0.191252,All,#4682B4,0
1,207,-0.213491,0.225499,0.0723631,All,#4682B4,0
2,207,-0.0977501,0.0936481,0.0575445,All,#4682B4,0
3,207,-0.0891143,0.0904318,0.0229229,All,#4682B4,0
4,207,0.175286,-0.178646,-0.0967792,All,#4682B4,0
5,207,0.147171,-0.165649,-0.0547391,All,#4682B4,0
6,207,-0.107764,0.106181,0.0530237,All,#4682B4,0
7,207,-0.100217,0.0983898,0.0385402,All,#4682B4,0
8,207,-0.043428,0.0537336,0.0225922,All,#4682B4,0
1,208,0.087383,-0.0821018,0.00771827,All,#4682B4,0
2,208,-0.0669194,0.0622395,0.0734757,All,#4682B4,0
3,208,0.390178,-0.397254,-0.112702,All,#4682B4,0
4,208,0.105364,-0.106358,0.0175765,All,#4682B4,0
5,208,0.00646855,0.0205736,0.0603926,All,#4682B4,0
6,208,0.106977,-0.0844148,0.00643319,All,#4682B4,0
7,208,0.0307764,-0.0118825,0.063032,All,#4682B4,0
8,208,0.144562,-0.151766,-0.0111339,All,#4682B4,0
1,209,0.150438,-0.142549,-0.0795211,All,#4682B4,0
2,209,-0.142884,0.115288,0.0153221,All,#4682B4,0
3,209,-0.0452139,0.0763887,0.0115815,All,#4682B4,0
4,209,-0.0452052,0.0541698,-0.0210771,All,#4682B4,0
5,209,-0.230374,0.212121,0.0555489,All,#4682B4,0
6,209,0.128593,-0.116285,-0.0632378,All,#4682B4,0
7,209,0.0445154,-0.0320744,-0.041869,All,#4682B4,0
8,209,0.154587,-0.152487,-0.0840039,All,#4682B4,0
1,210,-0.0242782,0.0105591,-0.0504555,All,#4682B4,0
2,210,-0.0267094,0.0262271,-0.0271756,All,#4682B4,0
3,210,-0.325291,0.315766,0.0325315,All,#4682B4,0
4,210,-0.209446,0.216294,0.0138803,All,#4682B4,0
5,210,-0.257847,0.237115,0.0290904,All,#4682B4,0
6,210,-0.246283,0.264276,-0.00739464,All,#4682B4,0
7,210,-0.0550736,0.0396203,-0.051675,All,#4682B4,0
8,210,0.104241,-0.087022,-0.125897,All,#4682B4,0
1,211,0.0673383,-0.0757153,0.0593719,All,#4682B4,0
2,211,0.364453,-0.367291,-0.116376,All,#4682B4,0
3,211,-0.171962,0.167102,0.132419,All,#4682B4,0
4,211,0.112304,-0.104489,0.0153666,All,#4682B4,0
5,211,-0.0715229,0.064346,0.114348,All,#4682B4,0
6,211,0.0502104,-0.0268336,0.0421475,All,#4682B4,0
7,211,0.0371562,-0.0474431,0.0721003,All,#4682B4,0
8,211,0.103601,-0.115523,0.0254349,All,#4682B4,0
1,212,0.653155,-0.653314,0.043876,All,#4682B4,0
2,212,0.666597,-0.674331,0.047474,All,#4682B4,0
3,212,0.682761,-0.665723,0.0240237,All,#4682B4,0
4,212,0.647971,-0.666474,0.0550313,All,#4682B4,0
5,212,0.718408,-0.725895,-0.0148509,All,#4682B4,0
6,212,0.718671,-0.723854,0.00302569,All,#4682B4,0
7,212,0.75459,-0.750511,-0.0140732,All,#4682B4,0
8,212,0.679081,-0.670097,0.032073,All,#4682B4,0
1,213,-0.176745,0.149689,-0.165005,All,#4682B4,0
2,213,-0.155155,0.17464,-0.111495,All,#4682B4,0
3,213,-0.148812,0.122405,-0.0764145,All,#4682B4,0
4,213,-0.108584,0.110755,-0.142508,All,#4682B4,0
5,213,-0.0929252,0.107519,-0.15555,All,#4682B4,0
6,213,-0.065497,0.0613843,-0.0971667,All,#4682B4,0
7,213,-0.0881294,0.0858307,-0.108009,All,#4682B4,0
8,213,-0.0779553,0.0745281,-0.165257,All,#4682B4,0
1,214,-0.516265,0.493039,0.0194747,All,#4682B4,0
2,214,-0.0792184,0.07977,-0.107042,All,#4682B4,0
3,214,-0.0780365,0.0740444,-0.12305,All,#4682B4,0
4,214,-0.151869,0.138008,-0.0598616,All,#4682B4,0
5,214,-0.0850052,0.0960992,-0.0967086,All,#4682B4,0
6,214,-0.132987,0.120523,-0.098047,All,#4682B4,0
7,214,-0.224621,0.217771,-0.061554,All,#4682B4,0
8,214,-0.191358,0.203708,-0.0481156,All,#4682B4,0
1,215,-0.151868,0.155202,0.178065,All,#4682B4,0
2,215,-0.379416,0.356809,0.226141,All,#4682B4,0
3,215,-0.469627,0.44222,0.237238,All,#4682B4,0
4,215,0.0749893,-0.066733,0.0653211,All,#4682B4,0
5,215,0.127295,-0.104756,0.0538228,All,#4682B4,0
6,215,0.123884,-0.123714,0.068936,All,#4682B4,0
7,215,0.275223,-0.307399,-0.0182272,All,#4682B4,0
8,215,0.264651,-0.287128,-0.0195167,All,#4682B4,0
1,216,0.341075,-0.346929,-0.112995,All,#4682B4,0
2,216,0.124364,-0.125432,0.00628236,All,#4682B4,0
3,216,0.0825571,-0.0679169,0.0305599,All,#4682B4,0
4,216,-0.0886395,0.0849518,0.110702,All,#4682B4,0
5,216,0.163939,-0.179691,-0.0113714,All,#4682B4,0
6,216,-0.10889,0.090978,0.0854761,All,#4682B4,0
7,216,-0.014225,0.0330787,0.0604723,All,#4682B4,0
8,216,0.0272212,-0.0257186,0.0541586,All,#4682B4,0
1,217,0.0677997,-0.0669497,0.0852932,All,#4682B4,0
2,217,0.0633488,-0.0587813,0.0814874,All,#4682B4,0
3,217,-0.0945788,0.0929709,0.143645,All,#4682B4,0
4,217,0.182437,-0.166041,0.0578224,All,#4682B4,0
5,217,0.219279,-0.227155,0.0397131,All,#4682B4,0
6,217,0.0867788,-0.0983952,0.0746676,All,#4682B4,0
7,217,0.099169,-0.112832,0.0983722,All,#4682B4,0
8,217,0.204959,-0.201978,0.0340506,All,#4682B4,0
1,218,0.108978,-0.118686,-0.131348,All,#4682B4,0
