standEta_A1_abscissa,standEta_A1_cdf,standEta_tau1_abscissa,standEta_tau1_cdf,standEta_I0_abscissa,standEta_I0_cdf,split
-0.299147,0.390152,-0.275665,0.390152,-0.129307,0.390152,All
-0.297736,0.392045,-0.272074,0.392045,-0.125752,0.392045,All
-0.29402,0.393939,-0.268191,0.393939,-0.125459,0.393939,All
-0.289691,0.395833,-0.257248,0.395833,-0.123507,0.395833,All
-0.285091,0.397727,-0.253541,0.397727,-0.12278,0.397727,All
-0.279219,0.399621,-0.234744,0.399621,-0.122637,0.399621,All
-0.269532,0.401515,-0.230139,0.401515,-0.110269,0.401515,All
-0.267669,0.403409,-0.229974,0.403409,-0.108461,0.403409,All
-0.265436,0.405303,-0.229083,0.405303,-0.105519,0.405303,All
-0.263629,0.407197,-0.223292,0.407197,-0.103316,0.407197,All
-0.260019,0.409091,-0.216902,0.409091,-0.100071,0.409091,All
-0.254829,0.410985,-0.214219,0.410985,-0.0960432,0.410985,All
-0.234826,0.412879,-0.211638,0.412879,-0.0888549,0.412879,All
-0.233516,0.414773,-0.207896,0.414773,-0.0872016,0.414773,All
-0.23341,0.416667,-0.205075,0.416667,-0.0831518,0.416667,All
-0.227883,0.418561,-0.191965,0.418561,-0.0755503,0.418561,All
-0.226965,0.420455,-0.184637,0.420455,-0.0754692,0.420455,All
-0.222553,0.422348,-0.181191,0.422348,-0.073361,0.422348,All
-0.217248,0.424242,-0.180346,0.424242,-0.0686178,0.424242,All
-0.216432,0.426136,-0.178611,0.426136,-0.0653815,0.426136,All
-0.216391,0.42803,-0.176721,0.42803,-0.0616894,0.42803,All
-0.215141,0.429924,-0.170368,0.429924,-0.0613414,0.429924,All
-0.209533,0.431818,-0.16851,0.431818,-0.0596272,0.431818,All
-0.207883,0.433712,-0.165526,0.433712,-0.0476753,0.433712,All
-0.207878,0.435606,-0.159891,0.435606,-0.0464742,0.435606,All
-0.202496,0.4375,-0.154874,0.4375,-0.0428984,0.4375,All
-0.189439,0.439394,-0.153012,0.439394,-0.0419878,0.439394,All
-0.187433,0.441288,-0.150373,0.441288,-0.0405623,0.441288,All
-0.184479,0.443182,-0.150221,0.443182,-0.0404855,0.443182,All
-0.18117,0.445076,-0.147478,0.445076,-0.0392244,0.445076,All
-0.180523,0.44697,-0.14456,0.44697,-0.030542,0.44697,All
-0.179406,0.448864,-0.136797,0.448864,-0.0238501,0.448864,All
-0.172366,0.450758,-0.136321,0.450758,-0.0184698,0.450758,All
-0.162536,0.452652,-0.133731,0.452652,-0.00486204,0.452652,All
-0.15931,0.454545,-0.132403,0.454545,-0.00434008,0.454545,All
-0.144423,0.456439,-0.129568,0.456439,-0.00276907,0.456439,All
-0.138542,0.458333,-0.129566,0.458333,-0.00270765,0.458333,All
-0.132804,0.460227,-0.124185,0.460227,0.00373132,0.460227,All
-0.127854,0.462121,-0.120164,0.462121,0.0105295,0.462121,All
-0.120663,0.464015,-0.0952391,0.464015,0.0116743,0.464015,All
