rep,ID,standEta_A1_simulated,standEta_tau1_simulated,standEta_I0_simulated,filter
5,206,1.99446,-1.96449,0.678049,0
6,206,2.08493,-2.11716,0.803583,0
7,206,0.360392,-0.302539,2.19941,0
8,206,1.01437,-1.05155,1.7747,0
1,207,-1.02195,1.08884,0.671485,0
2,207,-0.467915,0.452189,0.533978,0
3,207,-0.426577,0.436658,0.212711,0
4,207,0.839069,-0.86261,-0.898052,0
5,207,0.704483,-0.79985,-0.507945,0
6,207,-0.51585,0.512707,0.492028,0
7,207,-0.479722,0.475084,0.35763,0
8,207,-0.207883,0.259458,0.209642,0
1,208,0.41829,-0.396436,0.0716208,0
2,208,-0.320333,0.300529,0.68181,0
3,208,1.86773,-1.91818,-1.04581,0
4,208,0.50436,-0.513559,0.163099,0
5,208,0.030964,0.0993414,0.560407,0
6,208,0.512081,-0.407605,0.0596961,0
7,208,0.147322,-0.0573755,0.584899,0
8,208,0.691996,-0.732815,-0.103316,0
1,209,0.720126,-0.688312,-0.737907,0
2,209,-0.683963,0.556678,0.14218,0
3,209,-0.216432,0.36885,0.10747,0
4,209,-0.216391,0.261564,-0.195583,0
5,209,-1.10276,1.02425,0.51546,0
6,209,0.615557,-0.561493,-0.586809,0
7,209,0.213089,-0.154874,-0.388518,0
8,209,0.739986,-0.736295,-0.779505,0
1,210,-0.116216,0.0509856,-0.468196,0
2,210,-0.127854,0.12664,-0.252173,0
3,210,-1.55712,1.52471,0.301873,0
4,210,-1.00258,1.0444,0.128801,0
5,210,-1.23428,1.14493,0.269941,0
6,210,-1.17892,1.27608,-0.0686178,0
7,210,-0.263629,0.19131,-0.479513,0
8,210,0.498987,-0.420194,-1.16825,0
1,211,0.322339,-0.365598,0.550935,0
2,211,1.74458,-1.7735,-1.0799,0
3,211,-0.823157,0.806866,1.22877,0
4,211,0.537581,-0.504532,0.142592,0
5,211,-0.342369,0.310701,1.06108,0
6,211,0.24035,-0.129568,0.391103,0
7,211,0.177861,-0.229083,0.669047,0
8,211,0.495922,-0.557811,0.23602,0
1,212,3.12656,-3.15459,0.407143,0
2,212,3.1909,-3.25607,0.44053,0
3,212,3.26827,-3.21451,0.222925,0
4,212,3.10174,-3.21813,0.510657,0
5,212,3.43891,-3.50505,-0.137808,0
6,212,3.44017,-3.49519,0.0280766,0
7,212,3.61211,-3.62391,-0.13059,0
8,212,3.25066,-3.23562,0.297618,0
1,213,-0.84605,0.722786,-1.53114,0
2,213,-0.742704,0.843266,-1.0346,0
3,213,-0.712343,0.591045,-0.70908,0
4,213,-0.519777,0.534792,-1.32239,0
5,213,-0.444819,0.519168,-1.44341,0
6,213,-0.313524,0.2964,-0.901648,0
7,213,-0.421862,0.414441,-1.00226,0
8,213,-0.37316,0.359866,-1.53348,0
1,214,-2.47128,2.38068,0.180713,0
2,214,-0.379207,0.385177,-0.993289,0
3,214,-0.373549,0.35753,-1.14183,0
4,214,-0.726974,0.666382,-0.555479,0
5,214,-0.406907,0.464024,-0.897397,0
6,214,-0.636591,0.581958,-0.909817,0
7,214,-1.07523,1.05153,-0.571184,0
8,214,-0.916004,0.983621,-0.446484,0
1,215,-0.726971,0.749407,1.65234,0
2,215,-1.81621,1.72289,2.09845,0
3,215,-2.24803,2.1353,2.20143,0
4,215,0.358963,-0.322226,0.60614,0
5,215,0.609341,-0.505822,0.499443,0
6,215,0.593015,-0.597363,0.639684,0
7,215,1.31745,-1.4843,-0.169138,0
8,215,1.26684,-1.38642,-0.181103,0
1,216,1.63268,-1.67518,-1.04853,0
2,216,0.595313,-0.60566,0.0582965,0
3,216,0.395188,-0.327943,0.283578,0
4,216,-0.424304,0.410197,1.02725,0
5,216,0.784752,-0.867656,-0.105519,0
6,216,-0.521242,0.439296,0.793166,0
7,216,-0.0680931,0.159724,0.561147,0
8,216,0.130304,-0.124185,0.502559,0
1,217,0.324547,-0.323273,0.791469,0
2,217,0.303241,-0.283831,0.756154,0
3,217,-0.452734,0.448918,1.33294,0
4,217,0.8733,-0.801744,0.536556,0
5,217,1.04965,-1.09684,0.368514,0
6,217,0.415397,-0.47511,0.69287,0
7,217,0.474707,-0.544819,0.912834,0
8,217,0.981107,-0.975271,0.315969,0
1,218,0.521663,-0.573088,-1.21883,0
2,218,-0.0839847,0.0693188,-0.656166,0
3,218,0.087794,-0.00146042,-0.948637,0
4,218,-1.16805,1.24446,-0.144689,0
5,218,0.491608,-0.583821,-1.45383,0
6,218,0.508719,-0.58659,-1.47915,0
7,218,0.670533,-0.661002,-1.44725,0
8,218,-0.825809,0.81486,-0.600719,0
1,219,-0.299147,0.381079,1.4533,0
2,219,-0.809019,0.864508,1.83707,0
3,219,-0.506819,0.471823,1.49943,0
4,219,-0.600519,0.570242,1.4514,0
5,219,0.772603,-0.623148,0.361289,0
6,219,-0.771997,0.865044,1.57268,0
7,219,-0.53468,0.578678,1.5112,0
8,219,-0.144423,0.121718,1.38462,0
1,220,1.31777,-1.37707,-0.0476753,0
2,220,-0.352038,0.370841,1.32354,0
3,220,0.203981,-0.308179,0.799101,0
4,220,0.526987,-0.502712,0.431615,0
5,220,0.978804,-0.923791,0.151074,0
6,220,0.673772,-0.600332,0.556189,0
7,220,0.816075,-0.821716,0.428054,0
8,220,0.260628,-0.307052,1.06565,0
1,221,-0.53974,0.567834,0.182235,0
2,221,0.340061,-0.184637,-0.973538,0
3,221,0.354882,-0.376343,-1.18166,0
4,221,0.197629,-0.268191,-0.7475,0
5,221,-0.564752,0.515077,0.0704058,0
6,221,-0.538945,0.514291,-0.404005,0
7,221,-1.10804,1.16934,0.123577,0
8,221,-0.353708,0.397683,-0.161985,0
1,222,0.453584,-0.365685,-0.0872016,0
2,222,0.284365,-0.216902,-0.170862,0
3,222,-1.19998,1.21812,0.622332,0
4,222,0.295418,-0.416323,-0.178545,0
5,222,0.265435,-0.211638,-0.125752,0
6,222,1.15574,-1.0378,-1.01124,0
7,222,-0.297736,0.288716,0.287461,0
8,222,0.476659,-0.502607,-0.335295,0
1,223,-0.798676,0.744717,0.0953898,0
2,223,-0.808718,0.789564,0.0341104,0
3,223,-0.768188,0.787978,0.132491,0
4,223,-0.269532,0.268916,-0.30221,0
5,223,0.348502,-0.366743,-0.82751,0
6,223,-0.434348,0.42378,-0.634715,0
7,223,-0.323279,0.388476,-0.454512,0
8,223,0.361734,-0.253541,-0.969435,0
1,224,-0.403106,0.441112,-0.989237,0
2,224,-1.47222,1.5614,-0.0613414,0
3,224,-1.70166,1.71427,0.0818324,0
4,224,-1.09972,1.05356,0.0820904,0
5,224,-0.771002,0.710378,-0.285414,0
6,224,-0.40678,0.487909,-0.798494,0
7,224,-0.387362,0.387578,-0.949076,0
8,224,-1.92641,1.97794,0.216553,0
1,225,-1.14916,1.25577,-1.05562,0
2,225,-1.44578,1.38903,-0.994909,0
3,225,-1.16687,1.23321,-1.12442,0
4,225,-0.313986,0.300906,-2.05521,0
5,225,-0.366145,0.355574,-1.97886,0
6,225,-0.289691,0.422162,-1.96368,0
7,225,-0.366755,0.387844,-2.08451,0
8,225,-0.304354,0.322659,-1.6899,0
1,226,-0.682287,0.686552,-1.0529,0
2,226,-0.506087,0.562804,-0.716005,0
3,226,-0.422525,0.496078,-1.14266,0
4,226,-0.767971,0.739232,-0.829813,0
5,226,-0.457624,0.535363,-0.796008,0
6,226,-0.98469,1.02158,-0.515836,0
7,226,-1.39783,1.39736,-0.396841,0
8,226,-1.50225,1.54932,-0.231759,0
1,227,-0.370581,0.35697,1.01559,0
2,227,0.664152,-0.544179,0.148858,0
3,227,1.64728,-1.57204,-0.661231,0
4,227,1.14032,-1.15142,-0.346405,0
5,227,0.727944,-0.803154,-0.073361,0
6,227,0.218043,-0.205075,0.418612,0
7,227,0.308809,-0.329486,0.353638,0
8,227,0.299691,-0.284579,0.452481,0
1,228,-2.29262,2.38543,-2.43969,0
2,228,-2.14372,2.246,-2.95398,0
3,228,-1.73697,1.68785,-3.10522,0
4,228,-1.89301,1.85188,-2.97153,0
5,228,-1.93059,1.92815,-2.7516,0
6,228,-1.74237,1.84582,-3.09419,0
7,228,-1.64703,1.63484,-3.12101,0
8,228,-1.73832,1.78469,-2.64571,0
1,229,0.494914,-0.48688,-0.0392244,0
2,229,-0.694242,0.804092,0.908946,0
3,229,0.257051,-0.257248,0.0537078,0
4,229,-0.941165,1.01236,0.954332,0
5,229,0.818738,-0.850896,-0.403109,0
6,229,0.211282,-0.292951,0.262578,0
7,229,0.374942,-0.391062,0.0116743,0
8,229,0.0944058,-0.153012,0.474182,0
