iteration,convergenceIndicator,phase,A1_pop,tau1_pop,A2_pop,tau2_pop,I0_pop,omega_A1,omega_tau1,omega_A2,omega_tau2,omega_I0,corr_A2_A1,corr_tau1_A1,corr_tau2_A1,corr_tau1_A2,corr_tau2_A2,corr_tau2_tau1,a
114,-4754.85,1,0.0758202,3427.17,0.125328,4005.5,0.448387,0.267404,2.70521,0.189134,3.03085,0.133001,-0.0191514,-0.680566,-0.791114,-0.622233,-0.47836,0.956034,0.0635413
115,-4748.54,1,0.0761193,3160.01,0.125255,3266.83,0.449134,0.260633,2.64636,0.184345,2.95411,0.13061,-0.206583,-0.626158,-0.790083,-0.55222,-0.344057,0.939172,0.0636385
116,-4759.69,1,0.0753495,4367.57,0.123264,4309.97,0.453262,0.254033,2.57935,0.179677,2.87931,0.135099,-0.187136,-0.659107,-0.797314,-0.548059,-0.371251,0.952458,0.0637402
117,-4767.86,1,0.0755073,4741.89,0.122607,4284.96,0.45298,0.247601,2.56207,0.178434,2.90365,0.138875,-0.183727,-0.624439,-0.771422,-0.601957,-0.422356,0.951362,0.0635669
118,-4766.53,1,0.0731424,5970.9,0.123518,5923.08,0.453477,0.259895,2.83735,0.190285,3.26157,0.142158,-0.129177,-0.649471,-0.804514,-0.635277,-0.444392,0.952814,0.0635727
119,-4767.65,1,0.0717121,6666.4,0.122214,6846.44,0.45599,0.253314,3.00485,0.195981,3.23319,0.138559,0.0451552,-0.67216,-0.796729,-0.739498,-0.605086,0.966088,0.0636762
120,-4767.09,1,0.071734,6144.24,0.124687,6235.42,0.453329,0.2469,2.98962,0.199951,3.15132,0.137059,0.102202,-0.641793,-0.76534,-0.788491,-0.682807,0.969267,0.0636755
121,-4775.97,1,0.0711241,5101.23,0.126501,5421.99,0.452471,0.251912,3.07275,0.198182,3.28106,0.134324,0.0899887,-0.614789,-0.781144,-0.806994,-0.663701,0.960602,0.0635847
122,-4768.35,1,0.0692895,5437.47,0.127186,6402.07,0.45261,0.267266,2.99494,0.201659,3.19798,0.131706,-0.0566733,-0.573165,-0.750151,-0.756048,-0.588686,0.954369,0.0636319
123,-4777.85,1,0.0689015,6068.6,0.125655,7430.19,0.455478,0.27795,3.05111,0.196553,3.41738,0.130299,0.0258303,-0.647844,-0.791455,-0.750757,-0.606993,0.962238,0.0635006
124,-4784.18,1,0.0681409,5639.18,0.127591,6896.57,0.453504,0.279963,3.00811,0.191576,3.35474,0.13394,0.040437,-0.668171,-0.784772,-0.74283,-0.628709,0.973157,0.0635005
125,-4780.51,1,0.0680527,4884.69,0.129399,6274.85,0.451444,0.275902,2.93194,0.1912,3.32918,0.132093,-0.0241518,-0.657213,-0.765344,-0.715713,-0.601255,0.976117,0.0636405
126,-4781.11,1,0.0684556,6748.58,0.125873,8486.7,0.455575,0.279917,2.93689,0.186359,3.30414,0.128748,-0.00986455,-0.674525,-0.780052,-0.710806,-0.592731,0.975749,0.063687
127,-4777.24,1,0.0667551,8959.87,0.124777,12529.4,0.45851,0.276382,3.0617,0.194348,3.39485,0.13286,0.0554704,-0.685797,-0.777549,-0.733003,-0.640035,0.980339,0.0635486
128,-4796.01,1,0.0675352,7950.77,0.125148,10885.9,0.457566,0.272366,3.11726,0.189427,3.44844,0.13313,0.112321,-0.720959,-0.792283,-0.756135,-0.669961,0.985379,0.0635907
129,-4792.74,1,0.0671165,10702.8,0.122215,14300.3,0.461412,0.26547,3.23287,0.196633,3.51222,0.130418,0.2468,-0.739405,-0.79347,-0.822611,-0.765165,0.987797,0.0636544
130,-4814.42,1,0.0686505,7942.36,0.12386,10116.5,0.457468,0.266652,3.23153,0.206255,3.50886,0.131721,0.227315,-0.740636,-0.790056,-0.815253,-0.763191,0.990659,0.063505
131,-4812.04,1,0.0700321,9532.64,0.120292,11477.1,0.459915,0.2599,3.31574,0.209626,3.61773,0.13035,0.313291,-0.744873,-0.783887,-0.859098,-0.823647,0.992142,0.0635473
132,-4808.39,1,0.0704767,8077.75,0.122007,8725.98,0.455927,0.257641,3.42494,0.216245,3.73469,0.130388,0.377801,-0.755139,-0.798012,-0.884658,-0.849513,0.991453,0.0635904
133,-4808.04,1,0.0713639,7152.5,0.122956,7691.42,0.454962,0.251118,3.33822,0.217683,3.64013,0.134484,0.33142,-0.718514,-0.766647,-0.886167,-0.848115,0.991594,0.0636061
134,-4808.45,1,0.0712272,9174.78,0.120912,9707.1,0.456659,0.258978,3.39944,0.215223,3.68038,0.133873,0.359836,-0.753763,-0.795413,-0.875479,-0.839883,0.992083,0.0635315
135,-4811.86,1,0.0710333,10740,0.119028,11493.4,0.459608,0.272261,3.5283,0.218136,3.87855,0.13105,0.401054,-0.781618,-0.82194,-0.87798,-0.842417,0.992842,0.0635667
136,-4819.23,1,0.0713003,10933.9,0.118238,11065.7,0.461127,0.272261,3.5387,0.219554,3.81096,0.127732,0.398008,-0.778222,-0.815542,-0.879023,-0.846615,0.993948,0.0635076
137,-4825.67,1,0.0697465,15332.6,0.116264,15434,0.464124,0.265435,3.5142,0.220969,3.71447,0.124497,0.375527,-0.763044,-0.795272,-0.878854,-0.851814,0.994984,0.063465
138,-4823.58,1,0.0690925,14205.1,0.117331,14083.2,0.463497,0.258714,3.54262,0.240091,3.73631,0.125915,0.316114,-0.69718,-0.743127,-0.894032,-0.860222,0.994929,0.0634859
139,-4820.8,1,0.0714854,12015.3,0.117328,11580.9,0.461913,0.252163,3.48257,0.238562,3.6865,0.122727,0.321169,-0.689162,-0.729752,-0.900169,-0.870835,0.99543,0.0635511
140,-4839.29,1,0.0715221,12518.6,0.117488,12055.6,0.461236,0.245778,3.47985,0.234942,3.65893,0.119619,0.321722,-0.677038,-0.722997,-0.909229,-0.87855,0.996105,0.0635456
141,-4839.77,1,0.0711653,10605.9,0.120216,9888.99,0.457419,0.239555,3.58771,0.23346,3.75043,0.121108,0.418145,-0.737033,-0.784186,-0.915862,-0.884038,0.995293,0.0634635
142,-4847.23,1,0.0699724,11490.2,0.120067,10750.1,0.458712,0.250574,3.49687,0.227548,3.65546,0.127494,0.378676,-0.726701,-0.787671,-0.905025,-0.86139,0.993587,0.0633563
143,-4840.05,1,0.0722746,9936.43,0.119263,8497.51,0.459634,0.244229,3.40833,0.221787,3.5629,0.124266,0.360215,-0.71887,-0.788057,-0.899784,-0.850486,0.992535,0.0635505
144,-4846.19,1,0.0713699,9501.33,0.119078,8300.43,0.460466,0.241901,3.34248,0.216171,3.51616,0.127137,0.394888,-0.742808,-0.811752,-0.901723,-0.849299,0.992121,0.0634886
145,-4841.3,1,0.0699928,11351,0.118401,9782.61,0.460481,0.252554,3.29638,0.210697,3.46785,0.125519,0.400885,-0.75573,-0.828951,-0.895817,-0.837441,0.991078,0.0636102
146,-4853.27,1,0.0689319,11359.5,0.119489,10244.9,0.460164,0.246159,3.3585,0.228941,3.46634,0.127318,0.476722,-0.762238,-0.831228,-0.927236,-0.877891,0.992123,0.0635626
147,-4866.49,1,0.0686924,13096.7,0.117301,11659.3,0.463329,0.24538,3.38376,0.238036,3.46363,0.124094,0.414341,-0.71408,-0.80205,-0.929456,-0.87176,0.990127,0.063614
148,-4871.63,1,0.0689322,12994,0.117276,11383.3,0.463312,0.253075,3.34227,0.232009,3.43356,0.128982,0.392301,-0.717002,-0.808999,-0.918575,-0.853772,0.989003,0.063444
149,-4874.37,1,0.0691531,10815.1,0.118228,9720.27,0.462437,0.246667,3.31122,0.234837,3.35673,0.127133,0.336857,-0.676329,-0.777581,-0.917414,-0.850333,0.988234,0.063402
150,-4883.87,1,0.0691875,9760.95,0.119524,8874.62,0.460127,0.243688,3.32848,0.242816,3.38153,0.124748,0.351615,-0.694046,-0.784803,-0.915053,-0.852777,0.990282,0.0634409
151,-4880.36,1,0.0694291,8248.39,0.121378,7462.09,0.458169,0.237518,3.45636,0.250991,3.49424,0.125593,0.434856,-0.722963,-0.800973,-0.933966,-0.884511,0.992086,0.0634973
